QualityType,Term,Probability
ActiveRedundancy,redund,0.022757818
ActiveRedundancy,fault,0.005609284
ActiveRedundancy,toler,0.004752448
ActiveRedundancy,downtim,0.003276492
ActiveRedundancy,activ,0.003022747
ActiveRedundancy,reliabl,0.002807911
ActiveRedundancy,replic,0.002788735
ActiveRedundancy,topolog,0.002777778
ActiveRedundancy,spare,0.002173913
ActiveRedundancy,replica,0.002093893
Audit,audit,0.19417438
Audit,trail,0.012725292
Audit,pwriter,0.009803922
Audit,lthread,0.009714076
Audit,log,0.007428381
Audit,pstmt,0.006714876
Audit,pmr,0.00659824
Audit,string,0.006565921
Audit,wizard,0.005131965
Audit,bean,0.004989375
Authenticate,authent,0.037989264
Authenticate,credenti,0.015623522
Authenticate,otp,0.010309278
Authenticate,challeng,0.010189701
Authenticate,oppon,0.008474576
Authenticate,auth,0.008382145
Authenticate,obfusc,0.007978723
Authenticate,osid,0.007231405
Authenticate,passphras,0.006818182
Authenticate,cred,0.006705351
CheckPoint,checkpoint,0.094299812
CheckPoint,transact,0.010529569
CheckPoint,commit,0.00794292
CheckPoint,undo,0.007855599
CheckPoint,redo,0.007762636
CheckPoint,rollback,0.007216065
CheckPoint,savepoint,0.005335366
CheckPoint,roll,0.004659392
CheckPoint,im,0.004261715
CheckPoint,restart,0.004036613
CheckPoint,chkp,0.003783742
CheckPoint,dlie,0.003770739
CheckPoint,recoveri,0.003614192
HeartBeat,heartbeat,0.056300125
HeartBeat,outbound,0.010854817
HeartBeat,ring,0.00945895
HeartBeat,puls,0.008415196
HeartBeat,hb,0.008314856
HeartBeat,heatbeat,0.008158508
HeartBeat,hsr,0.007206208
HeartBeat,isonlin,0.006993007
HeartBeat,beat,0.006051367
HeartBeat,fifo,0.004943503
HeartBeat,hl,0.004662005
HeartBeat,ping,0.00408019
HeartBeat,emitt,0.004058442
Kerbrose,kerbero,0.053602599
Kerbrose,ticket,0.02198542
Kerbrose,tgt,0.016371712
Kerbrose,gss,0.015323104
Kerbrose,krb,0.013026776
Kerbrose,kdc,0.009733425
Kerbrose,authent,0.008967445
Kerbrose,jaa,0.007006123
Kerbrose,princip,0.006706964
Kerbrose,credenti,0.006642062
LoadBalancing,balanc,0.048414279
LoadBalancing,robin,0.009416975
LoadBalancing,load,0.007431494
LoadBalancing,ttp,0.006630468
LoadBalancing,server,0.00582847
LoadBalancing,round,0.005534133
LoadBalancing,failov,0.005523751
LoadBalancing,weight,0.005469664
LoadBalancing,ratio,0.004560667
LoadBalancing,ih,0.004420312
PBAC,polici,0.020387245
PBAC,xcap,0.01092437
PBAC,auid,0.010084034
PBAC,xui,0.009243697
PBAC,jazn,0.006726908
PBAC,oc,0.005823293
PBAC,rule,0.004038684
PBAC,xdm,0.003361345
PBAC,permiss,0.003322205
PBAC,jacc,0.00311245
PingEcho,ping,0.045285256
PingEcho,echo,0.028720346
PingEcho,tactic,0.007956643
PingEcho,scrutini,0.005641026
PingEcho,reachabl,0.004846923
PingEcho,arp,0.003571429
PingEcho,pong,0.003571429
PingEcho,respond,0.0035311
PingEcho,monotor,0.0025
PingEcho,omiss,0.002380952
Pooling,pool,0.138598031
Pooling,thread,0.027196324
Pooling,sparrow,0.016317016
Pooling,rocessor,0.015521064
Pooling,nbp,0.015521064
Pooling,connect,0.013451744
Pooling,timewait,0.012432012
Pooling,worker,0.011463604
Pooling,param,0.009537988
Pooling,caches,0.008002561
RBAC,role,0.01752385
RBAC,rbac,0.010447787
RBAC,authz,0.008143322
RBAC,access,0.007240574
RBAC,truste,0.005863192
RBAC,control,0.005217354
RBAC,secur,0.004659076
RBAC,privileg,0.004076898
RBAC,polici,0.003547454
RBAC,permiss,0.003269479
Scheduler,schedul,0.046394888
Scheduler,prioriti,0.040342219
Scheduler,task,0.028456264
Scheduler,prcb,0.02552161
Scheduler,sched,0.025265576
Scheduler,ki,0.017324888
Scheduler,thread,0.015436391
Scheduler,rtp,0.010923185
Scheduler,tsi,0.008762322
Scheduler,tss,0.007831695
Session,cooki,0.038869079
Session,session,0.014108227
Session,rewrit,0.004851115
Session,visitor,0.003992045
Session,browser,0.003889402
Session,attack,0.003000535
Session,web,0.002797023
Session,domino,0.002758621
Session,user,0.002574167
Session,authent,0.002543498
